,target,source,coalesced_purpose_name,weight
250,Lithuania,United States,industrial development,36849047.0
254,New Zealand,United States,industrial development,203451199.0
258,Poland,Canada,industrial development,3662485.0
260,Poland,Finland,industrial development,6313047.0
262,Poland,France,industrial development,5201785.0
265,Poland,Italy,industrial development,5914647.0
269,Poland,Sweden,industrial development,589007.0
272,Poland,United Kingdom,industrial development,42787511.0
275,Poland,United States,industrial development,548534715.0
279,Portugal,United States,industrial development,270172.0
280,Qatar,United States,industrial development,80976522.0
282,Romania,Austria,industrial development,24396.0
285,Romania,Canada,industrial development,685484.0
288,Romania,France,industrial development,1186512.0
289,Romania,Italy,industrial development,358478.0
290,Romania,Japan,industrial development,80413016.0
292,Romania,Spain,industrial development,5603350.0
294,Romania,United Kingdom,industrial development,323178.0
296,Romania,United States,industrial development,169640623.0
299,Saudi Arabia,Austria,industrial development,203662.0
300,Saudi Arabia,Japan,industrial development,222224525.0
302,Saudi Arabia,United States,industrial development,254167658.0
307,Slovak Republic,Canada,industrial development,1621773.0
310,Slovak Republic,France,industrial development,101380.0
313,Slovak Republic,Italy,industrial development,1454923.0
315,Slovak Republic,Spain,industrial development,1350023.0
317,Slovak Republic,Sweden,industrial development,400873.0
318,Slovak Republic,United Kingdom,industrial development,336613.0
320,Slovenia,Canada,industrial development,49950.0
322,Slovenia,Germany,industrial development,16875940.0
325,South Africa,Australia,industrial development,91287.0
326,South Africa,Belgium,industrial development,7238.0
327,South Africa,Canada,industrial development,26700909.0
328,South Africa,Denmark,industrial development,4467244.0
329,South Africa,Finland,industrial development,7517.0
332,South Africa,Germany,industrial development,937574.0
333,South Africa,Ireland,industrial development,229580.0
334,South Africa,Japan,industrial development,185091.0
336,South Africa,Netherlands,industrial development,1380782.0
338,South Africa,Norway,industrial development,15424548.0
341,South Africa,Sweden,industrial development,1198432.0
343,South Africa,Switzerland,industrial development,2665028.0
344,South Africa,United Kingdom,industrial development,29567081.0
347,South Africa,United States,industrial development,9681699.0
351,Spain,United States,industrial development,7062587.0
353,Sweden,United States,industrial development,35282669.0
354,Taiwan,France,industrial development,70830.0
355,Taiwan,Japan,industrial development,1201758.0
358,Taiwan,United States,industrial development,616602612.0
360,Thailand,Australia,industrial development,26897.0
363,Thailand,Austria,industrial development,2281844.0
365,Thailand,Belgium,industrial development,3765246.0
368,Thailand,Canada,industrial development,70008809.0
370,Thailand,Denmark,industrial development,7334447.0
373,Thailand,Finland,industrial development,58111179.0
375,Thailand,France,industrial development,23981834.0
378,Thailand,Germany,industrial development,166368356.0
384,Thailand,Japan,industrial development,1348021971.0
388,Thailand,Korea,industrial development,1096198.0
392,Thailand,Netherlands,industrial development,13813129.0
394,Thailand,Norway,industrial development,6304303.0
396,Thailand,Spain,industrial development,32435.0
397,Thailand,Sweden,industrial development,13259316.0
399,Thailand,United Kingdom,industrial development,123175026.0
402,Thailand,United States,industrial development,1460262364.0
405,United Arab Emirates,Austria,industrial development,760972.0
406,United Arab Emirates,Japan,industrial development,699213.0
